Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1358	0.303387	1420	0.075352	141	0.460993	1081	0.278446	0.000007	682	0.291789	0.083240	676	0.315089	45.173716	1081	0.278446	0.221250	0.227780	
1395	0.291756	1374	0.054585	148	0.405405	1083	0.342567	0.000007	693	0.274170	0.083296	702	0.309117	45.173716	1083	0.342567	0.228250	0.227780	
1396	0.282951	1362	0.076358	139	0.460432	1103	0.363554	0.000007	696	0.300287	0.083328	700	0.265714	45.173716	1103	0.363554	0.241000	0.227788	
1370	0.329197	1344	0.061756	145	0.565517	1141	0.333918	0.000007	693	0.304473	0.083357	677	0.354505	45.173716	1141	0.333918	0.249250	0.227802	
1382	0.321997	1407	0.071784	121	0.512397	1090	0.327523	0.000007	679	0.294551	0.083403	703	0.348506	45.173716	1090	0.327523	0.241250	0.227810	
1381	0.272266	1361	0.085231	143	0.447552	1115	0.314798	0.000007	687	0.296943	0.083483	694	0.247839	45.173716	1115	0.314798	0.226750	0.227809	
1391	0.303379	1344	0.061756	148	0.466216	1117	0.291853	0.000007	712	0.317416	0.083533	679	0.288660	45.173716	1117	0.291853	0.225000	0.227807	
1324	0.293807	1359	0.075055	147	0.578231	1170	0.346154	0.000007	668	0.309880	0.083555	656	0.277439	45.173716	1170	0.346154	0.245250	0.227818	
1359	0.325239	1343	0.069993	129	0.503876	1169	0.339607	0.000007	668	0.344311	0.083564	691	0.306802	45.173716	1169	0.339607	0.249500	0.227832	
1309	0.301757	1372	0.075802	151	0.543046	1168	0.321062	0.000007	669	0.285501	0.083575	640	0.318750	45.173716	1168	0.321062	0.239000	0.227839	
1361	0.338722	1368	0.085526	123	0.463415	1148	0.280488	0.000007	669	0.310912	0.083609	692	0.365607	45.173716	1148	0.280488	0.239250	0.227846	
1379	0.322698	1394	0.083931	135	0.377778	1092	0.334249	0.000007	701	0.303852	0.083671	678	0.342183	45.173716	1092	0.334249	0.244500	0.227856	
1337	0.329095	1364	0.068915	158	0.474684	1141	0.269939	0.000007	690	0.269565	0.083676	647	0.392581	45.173716	1141	0.269939	0.229250	0.227857	
1367	0.295538	1405	0.068327	131	0.503817	1097	0.312671	0.000007	701	0.315264	0.083524	666	0.274775	45.173716	1097	0.312671	0.227250	0.227856	
1372	0.245627	1383	0.059291	145	0.475862	1100	0.349091	0.000007	681	0.296623	0.083535	691	0.195369	45.173716	1100	0.349091	0.218000	0.227850	
1373	0.277495	1341	0.064877	118	0.406780	1168	0.297945	0.000007	726	0.301653	0.053162	647	0.250386	45.173716	1168	0.297945	0.216000	0.227843	
1384	0.228324	1395	0.075986	127	0.409449	1094	0.284278	0.000007	713	0.294530	0.083265	671	0.157973	45.173716	1094	0.284278	0.196250	0.227824	
1370	0.240876	1373	0.058267	157	0.452229	1100	0.326364	0.000007	728	0.309066	0.080892	642	0.163551	45.173716	1100	0.326364	0.210000	0.227813	
1405	0.288968	1402	0.065621	140	0.307143	1053	0.309592	0.000007	737	0.333786	0.056677	668	0.239521	45.173716	1053	0.309592	0.216750	0.227806	
1375	0.242182	1420	0.065493	163	0.392638	1042	0.271593	0.000007	704	0.302557	0.083069	671	0.178838	45.173716	1042	0.271593	0.193250	0.227785	
1364	0.251466	1411	0.065202	137	0.364964	1088	0.320772	0.000007	641	0.293292	0.054734	723	0.214385	45.173716	1088	0.320772	0.208500	0.227773	
1289	0.220326	1401	0.079229	134	0.455224	1176	0.307823	0.000007	697	0.298422	0.082825	592	0.128378	45.173716	1176	0.307823	0.204500	0.227758	
1360	0.302206	1423	0.065355	121	0.429752	1096	0.323905	0.000007	661	0.287443	0.064623	699	0.316166	45.173716	1096	0.323905	0.227750	0.227758	
1375	0.315636	1399	0.060043	134	0.552239	1092	0.326923	0.000007	674	0.321958	0.082671	701	0.309558	45.173716	1092	0.326923	0.237250	0.227764	
1344	0.313988	1379	0.066715	147	0.496599	1130	0.307965	0.000007	676	0.288462	0.082697	668	0.339820	45.173716	1130	0.307965	0.233750	0.227768	
1412	0.313739	1319	0.051554	142	0.507042	1127	0.303461	0.000007	685	0.270073	0.082757	727	0.354883	45.173716	1127	0.303461	0.231250	0.227770	
1384	0.279624	1373	0.075747	158	0.474684	1085	0.329954	0.000007	662	0.270393	0.082795	722	0.288089	45.173716	1085	0.329954	0.231000	0.227772	
1395	0.319713	1329	0.078254	147	0.442177	1129	0.313552	0.000007	718	0.279944	0.082823	677	0.361891	45.173716	1129	0.313552	0.242250	0.227781	
1314	0.275495	1411	0.077250	137	0.386861	1138	0.279438	0.000007	660	0.292424	0.082874	654	0.258410	45.173716	1138	0.279438	0.210500	0.227770	
1411	0.265060	1347	0.072012	121	0.347107	1121	0.322034	0.000007	700	0.292857	0.082901	711	0.237693	45.173716	1121	0.322034	0.218500	0.227765	
1401	0.274804	1397	0.059413	127	0.299213	1075	0.324651	0.000007	701	0.329529	0.082934	700	0.220000	45.173716	1075	0.324651	0.213750	0.227756	
1358	0.268041	1393	0.068198	135	0.481481	1114	0.292639	0.000007	656	0.283537	0.082977	702	0.253561	45.173716	1114	0.292639	0.212500	0.227747	
1302	0.304147	1427	0.080589	122	0.442623	1149	0.294169	0.000007	648	0.296296	0.083017	654	0.311927	45.173716	1149	0.294169	0.225750	0.227746	
1344	0.313244	1422	0.071027	152	0.467105	1082	0.294824	0.000007	688	0.303779	0.083084	656	0.323171	45.173716	1082	0.294824	0.228000	0.227746	
1351	0.300518	1397	0.087330	140	0.514286	1112	0.315647	0.000007	650	0.303077	0.083144	701	0.298146	45.173716	1112	0.315647	0.237750	0.227752	
1394	0.323529	1346	0.076523	154	0.402597	1106	0.332731	0.000007	705	0.303546	0.083131	689	0.343977	45.173716	1106	0.332731	0.246000	0.227763	
1434	0.322873	1357	0.064849	157	0.452229	1052	0.353612	0.000007	734	0.307902	0.082755	700	0.338571	45.173716	1052	0.353612	0.248500	0.227776	
1378	0.335269	1370	0.072263	138	0.471014	1114	0.323160	0.000007	694	0.329971	0.082402	684	0.340643	45.173716	1114	0.323160	0.246500	0.227787	
1332	0.338589	1408	0.068892	157	0.522293	1103	0.329102	0.000007	661	0.326778	0.082436	671	0.350224	45.173716	1103	0.329102	0.248250	0.227799	
1347	0.311062	1445	0.060900	128	0.515625	1080	0.292593	0.000007	657	0.278539	0.082480	690	0.342029	45.173716	1080	0.292593	0.222250	0.227796	
1371	0.313640	1385	0.064982	147	0.394558	1097	0.332726	0.000007	700	0.312857	0.082515	671	0.314456	45.173716	1097	0.332726	0.235750	0.227801	
1390	0.319424	1349	0.054114	137	0.372263	1124	0.317616	0.000007	660	0.295455	0.082540	730	0.341096	45.173716	1124	0.317616	0.231250	0.227803	
1454	0.317056	1371	0.080233	141	0.375887	1034	0.304642	0.000007	739	0.289581	0.082567	715	0.345455	45.173716	1034	0.304642	0.234750	0.227807	
1388	0.351585	1423	0.082923	140	0.478571	1049	0.350810	0.000007	710	0.328169	0.082605	678	0.376106	45.173716	1049	0.350810	0.260250	0.227827	
1397	0.332856	1347	0.095026	145	0.503448	1111	0.274527	0.000007	694	0.325648	0.082641	703	0.339972	45.173716	1111	0.274527	0.242750	0.227836	
1326	0.341629	1387	0.074982	174	0.431034	1113	0.309075	0.000007	699	0.330472	0.082668	627	0.354067	45.173716	1113	0.309075	0.244000	0.227846	
1376	0.323401	1397	0.074445	157	0.522293	1070	0.301869	0.000007	746	0.335121	0.082693	630	0.309524	45.173716	1070	0.301869	0.238500	0.227852	
1336	0.302395	1419	0.057082	159	0.459119	1086	0.312155	0.000007	670	0.288060	0.082706	666	0.316817	45.173716	1086	0.312155	0.224250	0.227850	
1364	0.338710	1358	0.053756	168	0.476190	1110	0.338739	0.000007	674	0.341246	0.082722	690	0.336232	45.173716	1110	0.338739	0.247750	0.227862	
1393	0.292893	1341	0.070843	136	0.426471	1130	0.337168	0.000007	692	0.299133	0.082741	701	0.286733	45.173716	1130	0.337168	0.235500	0.227867	
1403	0.325018	1389	0.064795	136	0.477941	1072	0.356343	0.000007	699	0.304721	0.082751	704	0.345170	45.173716	1072	0.356343	0.248250	0.227879	
1399	0.318799	1362	0.071953	106	0.462264	1133	0.327449	0.000007	735	0.322449	0.082766	664	0.314759	45.173716	1133	0.327449	0.241000	0.227887	
1383	0.299349	1405	0.073310	124	0.411290	1088	0.328125	0.000007	716	0.305866	0.082777	667	0.292354	45.173716	1088	0.328125	0.231250	0.227889	
1377	0.291213	1412	0.068697	112	0.517857	1099	0.326661	0.000007	693	0.311688	0.082784	684	0.270468	45.173716	1099	0.326661	0.228750	0.227889	
1377	0.303558	1382	0.081766	146	0.500000	1095	0.309589	0.000007	676	0.323964	0.082793	701	0.283880	45.173716	1095	0.309589	0.235750	0.227894	
1352	0.329882	1352	0.088018	144	0.534722	1152	0.316840	0.000007	668	0.312874	0.082807	684	0.346491	45.173716	1152	0.316840	0.251750	0.227908	
1394	0.320660	1356	0.075959	152	0.526316	1098	0.325137	0.000007	701	0.308131	0.082817	693	0.333333	45.173716	1098	0.325137	0.246750	0.227920	
1428	0.315126	1332	0.069069	150	0.360000	1090	0.315596	0.000007	706	0.317280	0.082832	722	0.313019	45.173716	1090	0.315596	0.235000	0.227924	
